Allergy;Has.the.patient.been.diagnosed.with.any.of.the.following.allergy-related.problems?
Anesthesia;Has.the.patient.ever.had.any.of.the.following.complications.from.anesthesia?
Cardiovascular;Has.the.patient.ever.had.any.of.the.following.cardiovascular.conditions?
Ears.-.Hearing;Has.the.patient.ever.had.any.of.the.following.hearing.problems?
Endocrine.-.Metabolic;Has.the.patient.ever.had.thyroid.gland.problems?
Endocrine.-.Metabolic;Has.the.patient.ever.had.any.of.the.following.endocrine.conditions?
Extremities.(Hands.and.Feet);Has.the.patient.ever.had.any.of.the.following.hands.and.feet.conditions?
Eyes.-.Vision;Has.the.patient.ever.had.any.of.the.following.vision.impairments?
Gastrointestinal;Has.the.patient.ever.been.diagnosed.with.any.of.the.following.gastrointestinal.conditions?
Gastrointestinal;Has.the.patient.ever.had.any.of.the.following.gastrointestinal.symptoms?
Immunology;Has.the.patient.ever.had.any.of.the.following,.which.may.be.signs.of.Primary.Immunodeficiency
Lymphatics;Has.the.patient.ever.had.persistent.swelling.of.the.arms.and.legs?
Lymphatics;Has.the.patient.ever.had.persistent.swelling.of.the.hands.and.feet?
Lymphatics;Has.the.patient.ever.had.persistent.swelling.in.other.parts.of.the.body?
Lymphatics;Has.the.patient.ever.had.bloating.in.the.abdomen,.especially.following.meals?
Lymphatics;Has.the.patient.developed.any.of.the.following.conditions.due.to.lymphatic.problems?
Lymphatics;Were.any.lymphatic.abnormalities.picked.up.on.scans.during.the.pregnancy.with.your.child?
Mouth.-.Dental;Has.the.patient.ever.had.any.of.the.following.mouth.conditions?
Mouth.-.Dental;Has.the.patient.ever.had.any.of.the.following.dental.conditions?
Neck.-.Back.-.Orthopedic;Has.the.patient.been.diagnosed.with.any.of.the.following.neck,.back.or.orthopedic.conditions?
Neck.-.Back.-.Orthopedic;Has.the.patient.ever.had.any.of.the.following.neck,.back.or.orthopedic.conditions?
Neonatal;If.C-section.was.performed,.was.it.due.to.any.of.the.following?
Neonatal;If.the.baby.was.transferred.to.the.Intensive.Care.Unit,.what.was.the.reason?
Neonatal;When.the.baby.was.born,.did.he/she.have.any.of.the.following.conditions?
Neurological;Has.the.patient.ever.had.any.of.the.following.neurological.conditions?
Neurological;Has.the.patient.ever.experienced.the.following.symptoms,.on.a.frequent.basis?
Neurological;Has.the.patient.had.an.abnormal.MRI.or.CAT.scan.study?
Neurological;If.the.patient.had.an.abnormal.MRI.or.CAT.scan,.did.it.show.any.of.the.following.conditions?
Neurological.-.Seizures;Did.onset.of.seizures.correlate.with.a.loss.of.skill?
Nose.-.Throat;Has.the.patient.ever.experienced.any.of.the.following.nose.or.throat.conditions?
Psychiatric;Has.the.patient.ever.been.diagnosed.with.any.of.the.following.psychiatric.conditions?
Pulmonary.(Lungs);Has.the.patient.ever.had.any.of.the.following.lung.conditions?
Renal.-.Kidney;Has.the.patient.been.diagnosed.with.any.of.the.following.kidney.conditions?
Renal.-.Kidney;Has.the.patient.ever.had.any.of.the.following.kidney.symptoms?
Skin;Does.the.patient.have.excessive.hair.growth?.Please.indicate.which.part.of.the.body.
Sleep;Has.the.patient.ever.had.severe.sleep.disturbances?
